SIGLA	DISCIPLINA	RECOMENDAÇÃO
ESZR007-21	A questão nuclear nas Relações Internacionais	Não há
NHBB003-23	Ações extensionistas em Biodiversidade e Evolução	Evolução e Diversificação da Vida na Terra; Biodiversidade: Interações entre organismos e ambiente; Evolução
NHBB004-23	Ações extensionistas em Biomoléculas e suas funções	Evolução e Diversificação da Vida na Terra; Bioquímica: estrutura, propriedade e funções de biomoléculas; Genética II; Biologia Celular; Bioquímica Funcional
NHBB005-23	Ações extensionistas em Botânica	Evolução e Diversificação da Vida na Terra; Biodiversidade: Interações entre organismos e ambiente; Evolução e Diversidade de Plantas I; Evolução e Diversidade de Plantas II
NHBB006-23	Ações extensionistas em Fisiologia e Saúde	Histologia e Embriologia; Biologia celular; Morfofisiologia Humana I; Morfofisiologia Humana II; Morfofisiologia Humana III
NHBB007-23	Ações Extensionistas em Microbiologia, Ambiente e Saúde	Evolução e Diversificação da Vida na Terra; Biologia Celular; Microbiologia
NHBB008-23	Ações extensionistas em Zoologia	Evolução e Diversificação da Vida na Terra; Biodiversidade: Interações entre organismos e ambiente; Zoologia de Invertebrados I; Zoologia de Invertebrados II; Zoologia de Vertebrados; Ecologia Comportamental
ESZM035-17	Aditivação de Polímeros	Síntese de Polímeros; Materiais Poliméricos
ESZP041-14	Administração Pública e Reforma do Estado em Perspectiva Comparada	Não há
ESTS016-17	Aerodinâmica I	Dinâmica de Gases
ESZS019-17	Aerodinâmica II	Aerodinâmica I
ESTS012-17	Aeroelasticidade	Aerodinâmica I; Vibrações; Mecânica dos Sólidos I; Métodos Computacionais para Análise Estrutural
ESTS002-17	Aeronáutica I-A	Não há
ESZS001-17	Aeronáutica I-B	Aeronáutica I-A
ESZS002-17	Aeronáutica II	Aeronáutica I-A
ESHR027-21	África nas Relações Internacionais	Formação do Sistema Internacional
LHZ0001-19	Afro-Brasileira: Relações Étnico-Raciais	Não há
MCBM013-23	Álgebra Comutativa	Teoria de Anéis; Teoria de Grupos
MCTB001-17	Álgebra Linear	Geometria Analítica
MCBM001-23	Álgebra Linear Avançada	Álgebra Linear; Matemática Discreta
MCTD022-18	Álgebra na Educação Básica	Teoria Aritmética dos Números; Geometria Plana Axiomática; Fundamentos de Álgebra
MCCC001-23	Algoritmos e Estruturas de Dados I	Programação Estruturada; Processamento da Informação
MCCC002-23	Algoritmos e Estruturas de Dados II	Algoritmos e Estruturas de Dados I; Programação Estruturada; Processamento da Informação
