CURSO	CÓDIGO DE TURMA	TURMA	TEORIA	PRÁTICA	CAMPUS	TURNO	T-P-I	DOCENTE TEORIA	DOCENTE TEORIA 2	DOCENTE PRÁTICA	DOCENTE PRÁTICA 2
BACHARELADO EM BIOTECNOLOGIA	DA1NHT1002-15SA	Bioética A1-diurno (Santo André)	segunda das 10:00 às 12:00, sala L604, semanal	0	Santo André	diurno	2-0-2	ANA PAULA DE MATTOS AREAS DAU			
BACHARELADO EM BIOTECNOLOGIA	NA1NHT1002-15SA	Bioética A1-noturno (Santo André)	segunda das 19:00 às 21:00, sala L604, semanal	0	Santo André	noturno	2-0-2	ANA PAULA DE MATTOS AREAS DAU			
BACHARELADO EM BIOTECNOLOGIA	DANHZ1009-15SA	Biologia Molecular e Biotecnologia A-diurno (Santo André)	sexta das 09:00 às 12:00, sala 302-2, semanal	0	Santo André	diurno	3-0-3	JULIANA CARDINALI REZENDE			
BACHARELADO EM BIOTECNOLOGIA	NANHZ1009-15SA	Biologia Molecular e Biotecnologia A-noturno (Santo André)	sexta das 19:00 às 22:00, sala 302-2, semanal	0	Santo André	noturno	3-0-3	MILCA RACHEL DA COSTA RIBEIRO LINS			
BACHARELADO EM BIOTECNOLOGIA	DANHZ1027-15SA	Farmacologia A-diurno (Santo André)	terça das 10:00 às 12:00, sala S-310-3, semanal , quinta das 08:00 às 10:00, sala S-304-2, semanal	quinta das 10:00 às 12:00, sala 402-3, semanal	Santo André	diurno	4-2-4	CESAR AUGUSTO RIBEIRO		CESAR AUGUSTO RIBEIRO	
BACHARELADO EM BIOTECNOLOGIA	NANHZ1027-15SA	Farmacologia A-noturno (Santo André)	terça das 21:00 às 23:00, sala S-304-2, semanal , quinta das 19:00 às 21:00, sala S-310-3, semanal	quinta das 21:00 às 23:00, sala 402-3, semanal	Santo André	noturno	4-2-4	FULVIO RIELI MENDES		FULVIO RIELI MENDES	
BACHARELADO EM BIOTECNOLOGIA	DANHZ6010-18SA	Genômica e Pós-Genômica A-diurno (Santo André)	0	segunda das 08:00 às 12:00, sala 408-2, semanal , quarta das 10:00 às 12:00, sala 408-2, semanal	Santo André	diurno	4-2-6	MILCA RACHEL DA COSTA RIBEIRO LINS		MILCA RACHEL DA COSTA RIBEIRO LINS	
BACHARELADO EM BIOTECNOLOGIA	NANHZ6010-18SA	Genômica e Pós-Genômica A-noturno (Santo André)	0	segunda das 19:00 às 23:00, sala 408-2, semanal , quarta das 19:00 às 21:00, sala 408-2, semanal	Santo André	noturno	4-2-6	NATHALIA DE SETTA COSTA	MARCELLA PECORA MILAZZOTTO	NATHALIA DE SETTA COSTA	MARCELLA PECORA MILAZZOTTO
BACHARELADO EM BIOTECNOLOGIA	DAESZB015-17SA	Laboratório de Bioinformática A-diurno (Santo André)	0	quarta das 08:00 às 12:00, sala L503, semanal	Santo André	diurno	0-4-5			DANILO TRABUCO DO AMARAL	
BACHARELADO EM BIOTECNOLOGIA	NAESZB015-17SA	Laboratório de Bioinformática A-noturno (Santo André)	0	quarta das 19:00 às 23:00, sala L503, semanal	Santo André	noturno	0-4-5			DANILO TRABUCO DO AMARAL	
BACHARELADO EM BIOTECNOLOGIA	DANHBT005-23SA	Práticas Extensionistas em Biotecnologia A-diurno (Santo André)	0	segunda das 09:00 às 12:00, sala L501, semanal	Santo André	diurno	2-1-8	CRISTINA RIBAS FURSTENAU		CRISTINA RIBAS FURSTENAU	
